stimindex,value,rpe,sim_reward,sub,reward,sim
13,0.797592639923,-0.0223462190479,0.775246441364,101,acc,exp
14,0.0,0.0,0.0,101,acc,exp
15,0.814212083817,0.094665132463,0.908877253532,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
13,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
16,0.818565130234,0.0506798326969,0.869244933128,101,acc,exp
17,0.835701227188,-0.07777389884,0.75792735815,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
16,0.846220731735,-0.084655366838,0.761565387249,101,acc,exp
14,0.751393556595,0.105972878635,0.857366383076,101,acc,exp
15,0.84846830368,-0.114763654768,0.733704686165,101,acc,exp
16,0.809663891792,0.113354854286,0.923018693924,101,acc,exp
17,0.817596673965,0.0173655450344,0.834962189198,101,acc,exp
18,0.0,0.0,0.0,101,acc,exp
19,0.809403955936,0.105321928859,0.914725840092,101,acc,exp
15,0.0,0.0,0.0,101,acc,exp
16,0.787225604057,0.0603114850819,0.847537100315,101,acc,exp
17,0.0,0.0,0.0,101,acc,exp
16,0.813855946064,0.0566476583481,0.870503604412,101,acc,exp
20,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
17,0.847992002964,0.12771718204,0.975709140301,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
15,0.790036857128,-0.0869150832295,0.703121781349,101,acc,exp
16,0.0,0.0,0.0,101,acc,exp
17,0.833009898663,-0.0601818189025,0.772828102112,101,acc,exp
18,0.812660932541,0.0597799606621,0.872440934181,101,acc,exp
21,0.0,0.0,0.0,101,acc,exp
18,0.0,0.0,0.0,101,acc,exp
18,0.807618439198,0.0326695516706,0.840287983418,101,acc,exp
19,0.818664848804,-0.0419302545488,0.77673459053,101,acc,exp
20,0.804487168789,0.152853101492,0.957340240479,101,acc,exp
18,0.0,0.0,0.0,101,acc,exp
21,0.856170594692,0.000670701498166,0.85684132576,101,acc,exp
22,0.856397390366,0.0763831138611,0.932780504227,101,acc,exp
