blockindex	stim	cresp	acc	rt	resp	category	width	angle	ignore	gl	ignore2	stimindex	sub	resp1	resp6	cresp6	cresp1
55	tree22.jpg	6	0	0.959231	1	1	70.9386	93.95	-1	-1	0	24	101	1	0	1	0
56	tree18.jpg	1	0	1.451658	6	1	11.713	41.01	-1	-1	0	22	101	0	1	0	1
57	tree18.jpg	1	1	1.23518	1	2	80.9193	67.4	-1	1	0	23	101	1	0	0	1
59	tree39.jpg	6	1	0.901001	6	2	87.741	78.97	-1	1	0	25	101	0	1	1	0
61	tree19.jpg	6	1	0.780414	6	2	46.2769	37.9	-1	1	0	24	101	0	1	1	0
62	tree18.jpg	1	1	0.98313	1	2	72.1127	62.67	-1	1	0	24	101	1	0	0	1
63	tree19.jpg	6	1	0.661791	6	2	58.3022	54.23	-1	1	0	25	101	0	1	1	0
64	tree11.jpg	1	1	1.539054	1	2	65.6923	54.62	-1	1	0	24	101	1	0	0	1
65	tree39.jpg	6	1	0.804228	6	2	98.4084	83.65	-1	1	0	26	101	0	1	1	0
66	tree11.jpg	1	1	0.957809	1	2	43.6257	36.29	-1	1	0	25	101	1	0	0	1
67	tree11.jpg	1	1	0.666924	1	2	66.9732	55.82	-1	1	0	26	101	1	0	0	1
68	tree11.jpg	1	0	0.87618	6	1	14.539	35.97	-1	-1	0	27	101	0	1	0	1
70	tree18.jpg	1	0	0.925409	6	1	24.1494	53.87	-1	-1	0	25	101	0	1	0	1
71	tree18.jpg	1	1	0.761208	1	2	73.4448	61.88	-1	1	0	26	101	1	0	0	1
72	tree10.jpg	1	1	1.197935	1	2	81.5474	72.33	-1	1	0	27	101	1	0	0	1
74	tree22.jpg	6	0	0.673328	1	1	51.2882	77.02	-1	-1	0	25	101	1	0	1	0
75	tree11.jpg	1	1	1.278685	1	2	66.083	46.61	-1	1	0	28	101	1	0	0	1
77	tree18.jpg	1	0	1.49989	6	1	55.461	79.68	-1	-1	0	27	101	0	1	0	1
80	tree10.jpg	1	1	0.782938	1	2	47.2738	37.93	-1	1	0	28	101	1	0	0	1
81	tree39.jpg	6	1	0.632617	6	2	78.158	65.71	-1	1	0	27	101	0	1	1	0
82	tree22.jpg	6	0	0.797794	1	1	17.5115	47.29	-1	-1	0	26	101	1	0	1	0
83	tree18.jpg	1	0	0.638644	6	1	24.1506	51.25	-1	-1	0	28	101	0	1	0	1
85	tree22.jpg	6	0	1.400961	1	1	45.4946	67.9	-1	-1	0	27	101	1	0	1	0
88	tree39.jpg	6	1	0.992796	6	2	100	89.88	-1	1	0	28	101	0	1	1	0
89	tree10.jpg	1	1	0.96143	1	2	68.3297	54.69	-1	1	0	29	101	1	0	0	1
90	tree22.jpg	6	0	0.91346	1	1	37.7828	69.64	-1	-1	0	28	101	1	0	1	0
92	tree19.jpg	6	0	1.247976	1	1	42.3536	68.72	-1	-1	0	26	101	1	0	1	0
